,full model_x,full model_y,"no dynamical
synapse_x","no dynamical
synapse_y"
0,-3.866,0.0,-3.866,0.0
1,-3.8640000000000003,0.0,-3.8640000000000003,0.0
2,-3.862,0.0,-3.862,0.0
3,-3.8600000000000003,0.0,-3.8600000000000003,0.0
4,-3.858,0.0,-3.858,0.0
5,-3.8560000000000003,0.0,-3.8560000000000003,0.0
6,-3.854,0.0,-3.854,0.0
7,-3.8520000000000003,0.0,-3.8520000000000003,0.0
8,-3.85,0.0,-3.85,0.0
9,-3.8480000000000003,0.0,-3.8480000000000003,0.0
10,-3.846,0.0,-3.846,0.0
11,-3.8440000000000003,0.0,-3.8440000000000003,0.0
12,-3.842,0.0,-3.842,0.0
13,-3.8400000000000003,0.0,-3.8400000000000003,0.0
14,-3.838,0.0,-3.838,0.0
15,-3.8360000000000003,0.0,-3.8360000000000003,0.0
16,-3.834,0.0,-3.834,0.0
17,-3.8320000000000003,0.0,-3.8320000000000003,0.0
18,-3.83,0.0,-3.83,0.0
19,-3.8280000000000003,0.0,-3.8280000000000003,0.0
20,-3.826,0.0,-3.826,0.0
21,-3.8240000000000003,0.0,-3.8240000000000003,0.0
22,-3.822,0.0,-3.822,0.0
23,-3.8200000000000003,0.0,-3.8200000000000003,0.0
24,-3.818,0.0,-3.818,0.0
25,-3.8160000000000003,0.0,-3.8160000000000003,0.0
26,-3.814,0.0,-3.814,0.0
27,-3.8120000000000003,0.0,-3.8120000000000003,0.0
28,-3.81,0.0,-3.81,0.0
29,-3.8080000000000003,0.0,-3.8080000000000003,0.0
30,-3.806,0.0,-3.806,0.0
31,-3.8040000000000003,0.0,-3.8040000000000003,0.0
32,-3.802,0.0,-3.802,0.0
33,-3.8000000000000003,0.0,-3.8000000000000003,0.0
34,-3.798,0.0,-3.798,0.0
35,-3.7960000000000003,0.0,-3.7960000000000003,0.0
36,-3.794,0.0,-3.794,0.0
37,-3.7920000000000003,0.0,-3.7920000000000003,0.0
38,-3.79,0.0,-3.79,0.0
39,-3.7880000000000003,0.0,-3.7880000000000003,0.0
40,-3.786,0.0,-3.786,0.0
41,-3.7840000000000003,0.0,-3.7840000000000003,0.0
42,-3.782,0.0,-3.782,0.0
43,-3.7800000000000002,0.0,-3.7800000000000002,0.0
44,-3.778,0.0,-3.778,0.0
45,-3.7760000000000002,0.0,-3.7760000000000002,0.0
46,-3.774,0.0,-3.774,0.0
47,-3.7720000000000002,0.0,-3.7720000000000002,0.0
48,-3.77,0.0,-3.77,0.0
49,-3.7680000000000002,0.0,-3.7680000000000002,0.0
50,-3.766,0.0,-3.766,0.0
51,-3.7640000000000002,0.0,-3.7640000000000002,0.0
52,-3.762,0.0,-3.762,0.0
53,-3.7600000000000002,0.0,-3.7600000000000002,0.0
54,-3.758,0.0,-3.758,0.0
55,-3.7560000000000002,0.0,-3.7560000000000002,0.0
56,-3.754,0.0,-3.754,0.0
57,-3.7520000000000002,0.0,-3.7520000000000002,0.0
58,-3.75,0.0,-3.75,0.0
59,-3.748,0.0,-3.748,0.0
60,-3.746,0.0,-3.746,0.0
61,-3.744,0.0,-3.744,0.0
62,-3.742,0.0,-3.742,0.0
63,-3.74,0.0,-3.74,0.0
64,-3.738,0.0,-3.738,0.0
65,-3.736,0.0,-3.736,0.0
66,-3.734,0.0,-3.734,0.0
67,-3.732,0.0,-3.732,0.0
68,-3.73,0.0,-3.73,0.0
69,-3.728,0.0,-3.728,0.0
70,-3.726,0.0,-3.726,0.0
71,-3.724,0.0,-3.724,0.0
72,-3.722,0.0,-3.722,0.0
73,-3.72,0.0,-3.72,0.0
74,-3.718,0.0,-3.718,0.0
75,-3.716,0.0,-3.716,0.0
76,-3.714,0.0,-3.714,0.0
77,-3.712,0.0,-3.712,0.0
78,-3.71,0.0,-3.71,0.0
79,-3.708,0.0,-3.708,0.0
80,-3.706,0.0,-3.706,0.0
81,-3.704,0.0,-3.704,0.0
82,-3.702,0.0,-3.702,0.0
83,-3.7,0.0,-3.7,0.0
84,-3.698,0.0,-3.698,0.0
85,-3.696,0.0,-3.696,0.0
86,-3.694,0.0,-3.694,0.0
87,-3.692,0.0,-3.692,0.0
88,-3.69,0.0,-3.69,0.0
89,-3.688,0.0,-3.688,0.0
90,-3.686,0.0,-3.686,0.0
91,-3.684,0.0,-3.684,0.0
92,-3.682,0.0,-3.682,0.0
93,-3.68,0.0,-3.68,0.0
94,-3.678,0.0,-3.678,0.0
95,-3.676,0.0,-3.676,0.0
96,-3.674,0.0,-3.674,0.0
97,-3.672,0.0,-3.672,0.0
98,-3.67,0.0,-3.67,0.0
99,-3.668,0.0,-3.668,0.0
100,-3.666,0.0,-3.666,0.0
101,-3.664,0.0,-3.664,0.0
102,-3.662,0.0,-3.662,0.0
103,-3.66,0.0,-3.66,0.0
104,-3.658,0.0,-3.658,0.0
105,-3.656,0.0,-3.656,0.0
106,-3.654,0.0,-3.654,0.0
107,-3.652,0.0,-3.652,0.0
108,-3.65,0.0,-3.65,0.0
109,-3.648,0.0,-3.648,0.0
110,-3.646,0.0,-3.646,0.0
111,-3.644,0.0,-3.644,0.0
112,-3.642,0.0,-3.642,0.0
113,-3.64,0.0,-3.64,0.0
114,-3.638,0.0,-3.638,0.0
115,-3.636,0.0,-3.636,0.0
116,-3.634,0.0,-3.634,0.0
117,-3.632,0.0,-3.632,0.0
118,-3.63,0.0,-3.63,0.0
119,-3.628,0.0,-3.628,0.0
120,-3.6260000000000003,0.0,-3.6260000000000003,0.0
121,-3.624,0.0,-3.624,0.0
122,-3.622,0.0,-3.622,0.0
123,-3.62,0.0,-3.62,0.0
124,-3.6180000000000003,0.0,-3.6180000000000003,0.0
125,-3.616,0.0,-3.616,0.0
126,-3.614,0.0,-3.614,0.0
127,-3.612,0.0,-3.612,0.0
128,-3.6100000000000003,0.0,-3.6100000000000003,0.0
129,-3.608,0.0,-3.608,0.0
130,-3.606,0.0,-3.606,0.0
131,-3.604,0.0,-3.604,0.0
132,-3.6020000000000003,0.0,-3.6020000000000003,0.0
133,-3.6,0.0,-3.6,0.0
134,-3.598,0.0,-3.598,0.0
135,-3.596,0.0,-3.596,0.0
136,-3.5940000000000003,0.0,-3.5940000000000003,0.0
137,-3.592,0.0,-3.592,0.0
138,-3.59,0.0,-3.59,0.0
139,-3.588,0.0,-3.588,0.0
140,-3.5860000000000003,0.0,-3.5860000000000003,0.0
141,-3.584,0.0,-3.584,0.0
142,-3.582,0.0,-3.582,0.0
143,-3.58,0.0,-3.58,0.0
144,-3.5780000000000003,0.0,-3.5780000000000003,0.0
145,-3.576,0.0,-3.576,0.0
146,-3.5740000000000003,0.0,-3.5740000000000003,0.0
147,-3.572,0.0,-3.572,0.0
148,-3.5700000000000003,0.0,-3.5700000000000003,0.0
149,-3.568,0.0,-3.568,0.0
150,-3.5660000000000003,0.0,-3.5660000000000003,0.0
151,-3.564,0.0,-3.564,0.0
152,-3.5620000000000003,0.0,-3.5620000000000003,0.0
153,-3.56,0.0,-3.56,0.0
154,-3.5580000000000003,0.0,-3.5580000000000003,0.0
155,-3.556,0.0,-3.556,0.0
156,-3.5540000000000003,0.0,-3.5540000000000003,0.0
157,-3.552,0.0,-3.552,0.0
158,-3.5500000000000003,0.0,-3.5500000000000003,0.0
159,-3.548,0.0,-3.548,0.0
160,-3.5460000000000003,0.0,-3.5460000000000003,0.0
161,-3.544,0.0,-3.544,0.0
162,-3.5420000000000003,0.0,-3.5420000000000003,0.0
163,-3.54,0.0,-3.54,0.0
164,-3.5380000000000003,0.0,-3.5380000000000003,0.0
165,-3.536,0.0,-3.536,0.0
166,-3.5340000000000003,0.0,-3.5340000000000003,0.0
167,-3.532,0.0,-3.532,0.0
168,-3.5300000000000002,0.0,-3.5300000000000002,0.0
169,-3.528,0.0,-3.528,0.0
170,-3.5260000000000002,0.0,-3.5260000000000002,0.0
171,-3.524,0.0,-3.524,0.0
172,-3.5220000000000002,0.0,-3.5220000000000002,0.0
173,-3.52,0.0,-3.52,0.0
174,-3.5180000000000002,0.0,-3.5180000000000002,0.0
175,-3.516,0.0,-3.516,0.0
176,-3.5140000000000002,0.0,-3.5140000000000002,0.0
177,-3.512,0.0,-3.512,0.0
178,-3.5100000000000002,0.0,-3.5100000000000002,0.0
179,-3.508,0.0,-3.508,0.0
180,-3.5060000000000002,0.0,-3.5060000000000002,0.0
181,-3.504,0.0,-3.504,0.0
182,-3.5020000000000002,0.0,-3.5020000000000002,0.0
183,-3.5,0.0,-3.5,0.0
184,-3.498,0.0,-3.498,0.0
185,-3.496,0.0,-3.496,0.0
186,-3.494,0.0,-3.494,0.0
187,-3.492,0.0,-3.492,0.0
188,-3.49,0.0,-3.49,0.0
189,-3.488,0.0,-3.488,0.0
190,-3.486,0.0,-3.486,0.0
191,-3.484,0.0,-3.484,0.0
192,-3.482,0.0,-3.482,0.0
193,-3.48,0.0,-3.48,0.0
194,-3.478,0.0,-3.478,0.0
195,-3.476,0.0,-3.476,0.0
196,-3.474,0.0,-3.474,0.0
197,-3.472,0.0,-3.472,0.0
198,-3.47,0.0,-3.47,0.0
199,-3.468,0.0,-3.468,0.0
200,-3.466,0.0,-3.466,0.0
201,-3.464,0.0,-3.464,0.0
202,-3.462,0.0,-3.462,0.0
203,-3.46,0.0,-3.46,0.0
204,-3.458,0.0,-3.458,0.0
205,-3.456,0.0,-3.456,0.0
206,-3.454,0.0,-3.454,0.0
207,-3.452,0.0,-3.452,0.0
208,-3.45,0.0,-3.45,0.0
209,-3.448,0.0,-3.448,0.0
210,-3.446,0.0,-3.446,0.0
211,-3.444,0.0,-3.444,0.0
212,-3.442,0.0,-3.442,0.0
213,-3.44,0.0,-3.44,0.0
214,-3.438,0.0,-3.438,0.0
215,-3.436,0.0,-3.436,0.0
216,-3.434,0.0,-3.434,0.0
217,-3.432,0.0,-3.432,0.0
218,-3.43,0.0,-3.43,0.0
219,-3.428,0.0,-3.428,0.0
220,-3.426,0.0,-3.426,0.0
221,-3.424,0.0,-3.424,0.0
222,-3.422,0.0,-3.422,0.0
223,-3.42,0.0,-3.42,0.0
224,-3.418,0.0,-3.418,0.0
225,-3.416,0.0,-3.416,0.0
226,-3.414,0.0,-3.414,0.0
227,-3.412,0.0,-3.412,0.0
228,-3.41,0.0,-3.41,0.0
229,-3.408,0.0,-3.408,0.0
230,-3.406,0.0,-3.406,0.0
231,-3.404,0.0,-3.404,0.0
232,-3.402,0.0,-3.402,0.0
233,-3.4,0.0,-3.4,0.0
234,-3.398,0.0,-3.398,0.0
235,-3.396,0.0,-3.396,0.0
236,-3.394,0.0,-3.394,0.0
237,-3.392,0.0,-3.392,0.0
238,-3.39,0.0,-3.39,0.0
239,-3.388,0.0,-3.388,0.0
240,-3.386,0.0,-3.386,0.0
241,-3.3840000000000003,0.0,-3.3840000000000003,0.0
242,-3.382,0.0,-3.382,0.0
243,-3.38,0.0,-3.38,0.0
244,-3.378,0.0,-3.378,0.0
